ec_id	go_id
1.1.1.1	GO:0004022
1.1.1.10	GO:0050038
1.1.1.100	GO:0004316
1.1.1.101	GO:0000140,GO:0102566
1.1.1.102	GO:0047560
1.1.1.103	GO:0008743
1.1.1.104	GO:0016617
1.1.1.105	GO:0004745
1.1.1.106	GO:0050166
1.1.1.107	GO:0050235
1.1.1.108	GO:0047728
1.1.1.11	GO:0047813
1.1.1.110	GO:0047029,GO:0047722,GO:0097256
1.1.1.111	GO:0019155
1.1.1.112	GO:0047718
1.1.1.113	GO:0050037
1.1.1.114	GO:0047674
1.1.1.115	GO:0050259
1.1.1.116	GO:0047816
1.1.1.117	GO:0045290,GO:0106271
1.1.1.118	GO:0047934
1.1.1.119	GO:0047935
1.1.1.12	GO:0050019
1.1.1.120	GO:0047910
1.1.1.121	GO:0047640
1.1.1.122	GO:0047834
1.1.1.123	GO:0050287
1.1.1.124	GO:0047903
1.1.1.125	GO:0008678
1.1.1.126	GO:0047000
1.1.1.127	GO:0047001
1.1.1.129	GO:0050036
1.1.1.13	GO:0047002
1.1.1.130	GO:0047559
1.1.1.131	GO:0050090
1.1.1.132	GO:0047919
1.1.1.133	GO:0008831
1.1.1.134	GO:0047003
1.1.1.135	GO:0047916
1.1.1.136	GO:0047004
1.1.1.137	GO:0050256
1.1.1.138	GO:0050085
1.1.1.14	GO:0003939
1.1.1.140	GO:0009010
1.1.1.141	GO:0016404
1.1.1.142	GO:0047832
1.1.1.143	GO:0050280
1.1.1.144	GO:0018457
1.1.1.145	GO:0003854,GO:0102294
1.1.1.146	GO:0070524,GO:0102196
1.1.1.147	GO:0047005
1.1.1.148	GO:0047881
1.1.1.149	GO:0047006
1.1.1.15	GO:0047824
1.1.1.150	GO:0047007
1.1.1.151	GO:0047008
1.1.1.152	GO:0047009
1.1.1.153	GO:0004757
1.1.1.154	GO:0009040
1.1.1.156	GO:0047953
1.1.1.157	GO:0008691
1.1.1.159	GO:0008709
1.1.1.16	GO:0047713
1.1.1.160	GO:0047855
1.1.1.162	GO:0047880
1.1.1.163	GO:0055041
1.1.1.164	GO:0047978
1.1.1.165	GO:0047535
1.1.1.166	GO:0047010
1.1.1.167	GO:0047993
1.1.1.168	GO:0047011
1.1.1.169	GO:0008677
1.1.1.17	GO:0008926
1.1.1.170	GO:0000252,GO:0047012,GO:0103066,GO:0103067
1.1.1.172	GO:0047550
1.1.1.173	GO:0050034
1.1.1.174	GO:0047795
1.1.1.175	GO:0047838
1.1.1.176	GO:0047013
1.1.1.177	GO:0047014
1.1.1.178	GO:0047015
1.1.1.179	GO:0047837
1.1.1.18	GO:0050112
1.1.1.181	GO:0047016
1.1.1.183	GO:0047924
1.1.1.184	GO:0004090
1.1.1.185	GO:0050026
1.1.1.186	GO:0033701
1.1.1.187	GO:0042356
1.1.1.188	GO:0036131,GO:0047017
1.1.1.189	GO:0050221
1.1.1.19	GO:0047939
1.1.1.190	GO:0047018
1.1.1.191	GO:0047019
1.1.1.192	GO:0050060
1.1.1.193	GO:0008703
1.1.1.194	GO:0050268
1.1.1.195	GO:0045551,GO:0052747
1.1.1.196	GO:0047020
1.1.1.197	GO:0047021
1.1.1.198	GO:0047500
1.1.1.199	GO:0046998
1.1.1.2	GO:0008106
1.1.1.20	GO:0047941
1.1.1.200	GO:0047641
1.1.1.201	GO:0047022
1.1.1.202	GO:0047516
1.1.1.203	GO:0050388
1.1.1.205	GO:0003938
