reaction_id	kegg_orthologs	kegg_ec
R02026	K01739,K01740	
R08691	K14181	4.2.3.73
R09590		6.3.1.12
R12552	K19068	1.1.1.367
R03640	K00475	1.14.11.9
R06914		1.2.1.-
R00790	K00366	1.7.7.1
R04618	K13264	2.3.1.115
R06138		3.5.3.5,3.5.3.6,3.5.3.9,3.5.3.12,3.5.3.13
R05612		2.5.1.-
R00347		4.3.1.20
R06140		3.2.1.97
R00332	K00942	2.7.4.8
R00327		3.1.1.33
R08571	K03738	1.2.7.5
R12620		1.3.1.34
R00360	K00116	1.1.5.4
R10442		3.6.1.5
R10975	K01453	3.5.1.46
R05885	K21895	2.1.1.94
R06292	K04122,K21292	1.14.14.86
R09936	K09018,K09024	1.14.99.46
R06332	K24460	
R04660		2.4.99.-
R00566	K01583,K01584,K01585,K02626	4.1.1.19
R07884	K12932	2.3.1.-
R08702	K15461	1.5.3.-
R04731		3.5.4.8
R06267	K04035	1.14.13.81
R01567	K00857,K05961	2.7.1.21,2.7.1.145
R09415	K15303	
R12069		1.14.14.73
R12181		1.14.14.161
R09730	K15888	2.5.1.89
R03004	K01513,K03426,K04765	3.6.1.9,3.6.1.22
R06463	K16006	1.14.15.33
R02627		2.1.1.85
R00588	K00830	2.6.1.45
R13027		1.5.3.26
R05933	K00747,K03419,K13499,K13500	2.4.1.226
R04648		2.4.3.2
R01705		3.1.2.22
R05775	K06118	3.13.1.1
R01180		2.3.3.7
R03250		
R01737	K00851,K25031	2.7.1.12
R12412		
R11278	K20578	2.4.1.-
R12424	K03644	2.8.1.8
R00072		1.1.3.23
R05036	K05277	1.14.20.4
R06304	K14041,K19571	4.2.3.32
R00695		2.6.1.70
R00782	K00816,K01758,K01760,K14155,K17217,K20021,K22207	4.4.1.1,4.4.1.13,4.4.1.28
R12386	K23522	2.4.1.365
R00737	K10774,K13064	4.3.1.23,4.3.1.25
R04429	K00208,K00209,K02371,K11533	1.3.1.9,2.3.1.-
R05633	K00991,K12506	2.7.7.60
R03373	K18606	1.1.1.237
R12852	K00942	2.7.4.8
R10235	K16855	3.6.1.64
R08520		1.11.1.8
R00763		3.1.3.46
R02856		
R07877	K12933	2.4.1.297
R05245	K00462	1.13.11.39
R03601	K01738,K10150,K13034	2.5.1.47
R10088		4.3.3.6
R01421	K01512	3.6.1.7
R10381	K18397	1.14.21.-
R04239		1.4.3.13
R05954		2.4.99.-
R00253	K01915	6.3.1.2
R01397	K00608,K00609,K00610,K11540,K11541	2.1.3.2
R00977	K17722,K17723	1.3.1.1
R04927	K00394,K00395	1.8.99.2
R02434		
R01317	K01047,K01058,K14621,K14674,K16342,K16343,K16817	3.1.1.4
R07632	K15087	4.2.3.26
R01838	K04119,K05296,K10207	1.1.1.51,1.1.1.64
R06821		2.3.1.115
R00519	K00122,K00123,K00124,K00126,K00127,K22515	1.17.1.9
R00514	K01510,K14641,K14642	3.6.1.5
R12284	K23155	2.5.1.149
R09143		
R06480	K14371,K24567,K24568,K24569	
R01404	K00208,K00665,K00668,K07512,K10780	1.3.1.10,1.3.1.39,1.3.1.104,1.3.1.-
R09167		1.14.-.-
R07513	K21026	3.1.1.80
R05532	K14369	2.1.1.254
R09230		1.7.1.-
R05189	K11628,K12432	2.3.1.111,2.3.1.252
R00963	K01081,K02566,K03787,K08693,K08723,K11751,K19970,K25434	3.1.3.5,3.1.3.-
R08967	K18674	2.7.1.157,2.7.1.162
R00897	K01738,K10150,K13034,K17069	2.5.1.47,2.5.1.65
R11905	K00799,K23790	2.5.1.18
R00888	K01711	4.2.1.47
R12595		3.6.1.58
R10391	K16792,K16793	4.2.1.114
R00424	K01495,K09007,K22391	3.5.4.16
R08890	K13547	2.6.1.100
R07976	K21723	1.14.13.179
R11762	K00072	1.1.1.153
R06790		
R08267	K17712,K17719	1.14.14.1,1.14.14.-
R11998	K13669	2.4.1.-
R09570	K14266	1.14.19.9
R12570		1.11.1.24
R00875	K00008	1.1.1.14,1.1.1.15
R05790	K07026	3.1.3.70
R02320	K00873,K12406	2.7.1.40
R06093		3.2.1.22
R01103	K01189,K07406,K07407	3.2.1.22
R12498	K23999	2.7.7.104
R02207	K00212,K05295	1.1.1.149
R12724		1.3.98.7
R10580		3.2.1.188
R04438	K02805	2.6.1.59
R02986	K16876	6.2.1.31
R09801	K15784	3.5.1.125
R12290		2.4.1.360
R02831		4.1.1.58
R03987		2.8.2.14
R06828		2.4.1.191
R11404		1.14.14.30
R13028	K21833,K21834,K25960,K25961	1.5.7.3
R06424	K19853,K24249	5.3.2.4
R07012		
R03869	K00128,K00149,K14085	1.2.1.3
R08929	K13332	
R00174	K00868	2.7.1.35
R08989		
R11397	K20885	2.4.1.340
R03393	K01107,K15422	3.1.3.57
R01620	K18854	2.3.1.32
