pathway_id	pathway_name	pathway_reactions	pathway_kos	pathway_compounds
map07041	Antineoplastics - antimetabolic agents			
map00550	Peptidoglycan biosynthesis	R00660,R00660,R01150,R01150,R02783,R02783,R02786,R02786,R02788,R02788,R03191,R03191,R03192,R03192,R03193,R03193,R04573,R04573,R04617,R04617,R05030,R05030,R05032,R05032,R05626,R05626,R05627,R05627,R05629,R05629,R05630,R05630,R05662,R05662,R06447,R06447,R08776,R08776,R08777,R08777,R08778,R08778,R08779,R08779,R08780,R08780,R12271,R12271,R12272,R12272	K00075,K00687,K00790,K00806,K00887,K01000,K01798,K01921,K01924,K01925,K01928,K01929,K02545,K02563,K03587,K03693,K03814,K04478,K05362,K05363,K05364,K05365,K05366,K05367,K05515,K06153,K07009,K07258,K07259,K07260,K08384,K08724,K11693,K11694,K11695,K12551,K12552,K12553,K12554,K12555,K12556,K15792,K18149,K18770,K18866,K19302,K21464,K21465,K21466,K21469,K23169,K23170,K23393	C00043,C00133,C00448,C00692,C00993,C01050,C01212,C04574,C04631,C04702,C04851,C04877,C04882,C05892,C05893,C05894,C05895,C05896,C05897,C05898,C17541,C17542,C17549,C17550,C17556,C17558,C22053
map00073	Cutin, suberine and wax biosynthesis	R01999,R01999,R02042,R02042,R02620,R02620,R09106,R09106,R09448,R09448,R09451,R09451,R09452,R09452,R09453,R09453,R09454,R09454,R09455,R09455,R09456,R09456,R09457,R09457,R09458,R09458,R09459,R09459,R09460,R09460,R09461,R09461,R09462,R09462,R09463,R09463,R09464,R09464,R09465,R09465,R09466,R09466,R09467,R09467,R09468,R09468,R09469,R09469,R09470,R09470,R09474,R09474	K13356,K13407,K15398,K15400,K15401,K15402,K15403,K15404,K15405,K15406,K17991,K20495,K20769,K21995,K27538	C00226,C00249,C00406,C00609,C00712,C01371,C01450,C01612,C01629,C02843,C08281,C08285,C18217,C18218,C19418,C19614,C19615,C19616,C19617,C19618,C19620,C19621,C19622,C19623,C19624,C19625,C19630
map00513	Various types of N-glycan biosynthesis	R05970,R05970,R05972,R05972,R05973,R05973,R05976,R05976,R05983,R05983,R05984,R05984,R05985,R05985,R05987,R05987,R05988,R05988,R05989,R05989,R06016,R06016,R06127,R06127,R06128,R06128,R06238,R06238,R06258,R06258,R06260,R06260,R06261,R06261,R06722,R06722,R08599,R08599,R09318,R09318,R09319,R09319,R09320,R09320,R09323,R09323,R09324,R09324,R11317,R11317,R11318,R11318,R12479,R12479	K00717,K00726,K00730,K00736,K00738,K00753,K00781,K01230,K01231,K03714,K03842,K03843,K03844,K03845,K03846,K03847,K05528,K05529,K05530,K05531,K05532,K05533,K05534,K05535,K05536,K05537,K05538,K07151,K07432,K07441,K07966,K07967,K07968,K09656,K09657,K09672,K09673,K12373,K12666,K12667,K12668,K12669,K12670,K12691,K13748,K14412,K14413,K14434,K14459,K14464,K19478,K20730,K23741,K26501,K26502	
map07043	Antineoplastics - hormones			
map07031	Antipsychotics - butyrophenones			
map04217	Necroptosis		K00261,K00460,K00522,K00688,K01367,K01370,K01915,K02159,K02161,K02373,K02861,K03156,K03158,K03171,K03173,K03767,K03853,K04079,K04383,K04389,K04390,K04398,K04440,K04447,K04515,K04519,K04687,K04692,K04693,K04721,K04722,K04724,K04725,K04726,K04727,K04982,K05130,K05131,K05132,K05133,K05401,K05409,K05414,K05415,K05842,K05862,K05863,K05864,K08601,K08847,K08849,K09849,K10160,K10630,K10802,K11217,K11218,K11219,K11220,K11221,K11222,K11223,K11224,K11225,K11251,K11859,K11974,K12191,K12192,K12193,K12194,K12195,K12196,K12197,K12198,K12350,K12799,K12800,K12965,K12967,K13625,K14381,K15040,K15041,K15053,K15637,K16060,K16195,K16342,K17065,K17595,K20894,K21421,K21634,K24070,K24782	C00002,C00027,C00076,C00195,C00219,C00305,C00319,C00550,C14592,C16844
map07023	Rifamycins			C14539,C14540
map07225	Glucocorticoid and mineralocorticoid receptor agonists/antagonists			C00410,C00735,C00762,C01780
map00071	Fatty acid degradation	R00238,R00238,R00623,R00623,R00631,R00631,R00639,R00639,R01175,R01175,R01177,R01177,R01279,R01279,R01280,R01280,R01347,R01347,R01348,R01348,R01406,R01406,R01704,R01704,R01923,R01923,R01975,R01975,R02000,R02000,R02002,R02002,R02281,R02281,R02402,R02402,R02462,R02462,R02487,R02487,R03026,R03026,R03276,R03276,R03777,R03777,R03778,R03778,R03857,R03857,R03858,R03858,R03990,R03990,R03991,R03991,R04121,R04121,R04170,R04170,R04737,R04737,R04738,R04738,R04739,R04739,R04740,R04740,R04741,R04741,R04742,R04742,R04743,R04743,R04744,R04744,R04745,R04745,R04746,R04746,R04747,R04747,R04748,R04748,R04749,R04749,R04751,R04751,R04754,R04754,R04756,R04756,R10912,R10912	K00001,K00022,K00121,K00128,K00149,K00232,K00248,K00249,K00252,K00255,K00496,K00529,K00530,K00626,K00632,K01692,K01782,K01825,K01897,K01909,K04072,K05297,K05939,K06445,K07422,K07425,K07508,K07509,K07511,K07513,K07514,K07515,K07516,K07517,K08765,K08766,K09478,K09479,K10527,K13238,K13239,K13767,K13951,K13952,K13953,K13954,K13980,K14085,K14338,K15013,K15401,K18857,K18880,K19523,K19524,K20495,K21738,K22567,K22887	C00010,C00024,C00071,C00136,C00154,C00162,C00226,C00229,C00249,C00332,C00340,C00435,C00489,C00517,C00527,C00638,C00823,C00877,C01144,C01371,C01832,C01944,C02593,C02990,C03221,C03547,C03561,C05102,C05258,C05259,C05260,C05261,C05262,C05263,C05264,C05265,C05266,C05267,C05268,C05269,C05270,C05271,C05272,C05273,C05274,C05275,C05276,C05279,C05280,C20683
